,spotify_id,artist_id,track_name,album_name,artist_name,date,duration,pop,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,is_latin,artist_latin_status
37,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,progressive electro house,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
38,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,contemporary country,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
39,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,country,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
40,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,country pop,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
41,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,country road,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
42,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,modern country rock,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
43,5Gu0PDLN4YJeW75PpBSg9p,4olE3I5QU0dvSR7LIpqTXc,"Let Me Go (with Alesso, Florida Georgia Line & watt)","Let Me Go (with Alesso, Florida Georgia Line & watt)",WATT,2017-09-08,174800,78,modern alternative rock,0.664,0.708,8,-4.154,0.0474,0.0337,0.0,0.0841,0.742,103.07,2018,nonlatin,nonlatin
44,59ljpSFcgtfWJKS3vqG27R,2wY79sveU1sp5g7SokKOiI,Pray,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,221595,1,pop,0.535,0.382,4,-9.465,0.0426,0.282,1.14e-05,0.0865,0.147,87.801,2018,nonlatin,nonlatin
45,59ljpSFcgtfWJKS3vqG27R,2wY79sveU1sp5g7SokKOiI,Pray,The Thrill Of It All (Special Edition),Sam Smith,2017-11-03,221595,1,uk pop,0.535,0.382,4,-9.465,0.0426,0.282,1.14e-05,0.0865,0.147,87.801,2018,nonlatin,nonlatin
46,6e40mgJiCid5HRAGrbpGA6,5rSXSAkZ67PYJSvpUpkOr7,I Want It That Way,The Hits--Chapter One,Backstreet Boys,2001-10-23,213600,70,boy band,0.689,0.702,6,-5.642,0.0261,0.216,0.0,0.159,0.484,99.031,2018,nonlatin,nonlatin
47,6e40mgJiCid5HRAGrbpGA6,5rSXSAkZ67PYJSvpUpkOr7,I Want It That Way,The Hits--Chapter One,Backstreet Boys,2001-10-23,213600,70,dance pop,0.689,0.702,6,-5.642,0.0261,0.216,0.0,0.159,0.484,99.031,2018,nonlatin,nonlatin
48,6e40mgJiCid5HRAGrbpGA6,5rSXSAkZ67PYJSvpUpkOr7,I Want It That Way,The Hits--Chapter One,Backstreet Boys,2001-10-23,213600,70,pop,0.689,0.702,6,-5.642,0.0261,0.216,0.0,0.159,0.484,99.031,2018,nonlatin,nonlatin
49,5I8oEqbk2ZBmQfXCrZbUFb,7n2wHs1TKAczGzO7Dd2rGr,Fallin' All In You,Shawn Mendes,Shawn Mendes,2018-05-25,235746,0,canadian pop,0.853,0.477,8,-6.697,0.0362,0.401,0.0,0.111,0.8,92.03,2018,nonlatin,nonlatin
50,5I8oEqbk2ZBmQfXCrZbUFb,7n2wHs1TKAczGzO7Dd2rGr,Fallin' All In You,Shawn Mendes,Shawn Mendes,2018-05-25,235746,0,pop,0.853,0.477,8,-6.697,0.0362,0.401,0.0,0.111,0.8,92.03,2018,nonlatin,nonlatin
51,5I8oEqbk2ZBmQfXCrZbUFb,7n2wHs1TKAczGzO7Dd2rGr,Fallin' All In You,Shawn Mendes,Shawn Mendes,2018-05-25,235746,0,viral pop,0.853,0.477,8,-6.697,0.0362,0.401,0.0,0.111,0.8,92.03,2018,nonlatin,nonlatin
52,4ROD16K3Ju9rmnYWJuzKTS,6dn6x1XOng3LOAnfTjUn77,Used to Be,Used to Be,AJ Mitchell,2017-06-16,174793,0,alt z,0.631,0.474,2,-6.355,0.0365,0.73,0.0,0.0962,0.257,120.833,2018,nonlatin,nonlatin
53,4ROD16K3Ju9rmnYWJuzKTS,6dn6x1XOng3LOAnfTjUn77,Used to Be,Used to Be,AJ Mitchell,2017-06-16,174793,0,pop,0.631,0.474,2,-6.355,0.0365,0.73,0.0,0.0962,0.257,120.833,2018,nonlatin,nonlatin
54,5SxkdsY1ufZzoq9iXceLw9,66CXWjxzNUsdJxJ2JdwvnR,no tears left to cry,no tears left to cry,Ariana Grande,2018-04-20,205946,1,pop,0.703,0.696,0,-5.482,0.0529,0.0375,5.65e-06,0.274,0.366,121.969,2018,nonlatin,nonlatin
55,4eWQlBRaTjPPUlzacqEeoQ,4nDoRrQiYLoBzwC5BhVJzF,Never Be the Same,Camila,Camila Cabello,2018-01-12,226973,75,dance pop,0.637,0.713,0,-4.333,0.0747,0.181,0.000637,0.137,0.243,129.923,2018,nonlatin,latin
56,4eWQlBRaTjPPUlzacqEeoQ,4nDoRrQiYLoBzwC5BhVJzF,Never Be the Same,Camila,Camila Cabello,2018-01-12,226973,75,pop,0.637,0.713,0,-4.333,0.0747,0.181,0.000637,0.137,0.243,129.923,2018,nonlatin,latin
