,spotify_id,artist_id,track_name,album_name,artist_name,date,duration,pop,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,is_latin
451,6dmjHRIprOaIeDOk65RNdI,4LFOoXhMhnq9U8VsZkSwxl,Fíjate Que Sí,Me Hiciste un Borracho,Edwin Luna y La Trakalosa de Monterrey,2019,204586,70,"banda,musica mexicana,norteno,sad sierreno",0.51,0.434,4,-4.455,0.0358,0.384,0.0,0.104,0.598,114.675,2022,latin
452,48AJSd42lXpicsGqcgopof,"4VMYDCV2IEDYJArk749S6m,4q3ewBCX7sLwd24euuV69X",X ÚLTIMA VEZ,LEGENDADDY,"Daddy Yankee,Bad Bunny",2022-03-25,192477,77,"latin hip hop,reggaeton,trap latino,urbano latino",0.812,0.855,7,-3.725,0.0554,0.0789,0.000167,0.108,0.573,90.04,2022,latin
453,1qfoq1qvZT7VwDVeekCJ97,0XwVARXT135rw8lyw1EeWP,De Los Besos Que Te Di,Ahora,Christian Nodal,2019-05-10,167373,77,"mariachi,musica mexicana,ranchera",0.504,0.503,7,-3.313,0.0422,0.388,0.0,0.0608,0.709,195.593,2022,latin
454,2tTmW7RDtMQtBk7m2rYeSw,"716NhGYqD1jl2wI1Qkgq36,52iwsT98xCoGgiGntTiR7K","Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap,Quevedo",2022-07-06,198937,90,"argentine hip hop,pop venezolano,trap argentino,trap latino,urbano latino,rap canario",0.621,0.782,2,-5.548,0.044,0.0125,0.033,0.23,0.55,128.033,2022,latin
455,6rIql0inorjJoC5Fxye5e9,"1SupJlEpv7RS2tPNRaHViT,5lwmRuXgjX8xIwlnauTZIP",Fan de Tus Fotos,Infinity,"Nicky Jam,Romeo Santos",2021-08-27,197647,54,"latin hip hop,reggaeton,trap latino,urbano latino,bachata,latin pop",0.728,0.689,7,-5.718,0.0725,0.293,1.26e-05,0.109,0.431,170.089,2022,latin
456,4MzXwWMhyBbmu6hOcLVD49,"4q3ewBCX7sLwd24euuV69X,6nVcHLIgY5pE2YCl8ubca1",DÁKITI,EL ÚLTIMO TOUR DEL MUNDO,"Bad Bunny,Jhayco",2020-11-27,205090,80,"reggaeton,trap latino,urbano latino",0.731,0.573,4,-10.059,0.0544,0.401,5.22e-05,0.113,0.145,109.928,2022,latin
457,0cOa970mzTWAxKtltpkpLc,"7vXDAI8JwjW531ouMGbfcp,1DxLCyH42yaHKGK3cl5bvG",Miénteme,Miénteme,"TINI,Maria Becerra",2021-04-29,165275,76,"latin pop,latin viral pop,pop argentino",0.85,0.541,2,-4.522,0.0674,0.161,5.01e-06,0.286,0.916,92.003,2022,latin
458,50ZC4PM7hywH27RcCfViau,"1mcTU81TzQhprhouKaTkpq,0KPX4Ucy9dk82uj4GpKesn,1pQWsZQehhS4wavwh7Fnxd,3fZk3Gm5dN5v5yfYMQ04Bx",Elegí,Elegí,"Rauw Alejandro,Dalex,Lenny Tavárez,Dímelo Flow",2020-03-26,197721,74,"puerto rican pop,reggaeton,trap latino,urbano latino,r&b en espanol,trap argentino,reggaeton flow",0.824,0.631,0,-2.791,0.0809,0.237,0.000116,0.0531,0.678,171.965,2022,latin
459,6osHk3bv9DMPtcPq2Qukbn,0ZwjmGhps2YvUMzB7ihFV8,Hablar X Skype,Hablar X Skype,Adrian Bello,2022-01-20,202439,15,peruvian indie,0.697,0.603,11,-8.665,0.0366,0.782,0.0,0.0936,0.63,103.571,2022,latin
460,4t9a07PAghtQMRAIP9FQ7Z,"47MpMsUfWtgyIIBEFOr4FE,4VMYDCV2IEDYJArk749S6m,4q3ewBCX7sLwd24euuV69X",Soltera (Remix),Épico,"Lunay,Daddy Yankee,Bad Bunny",2019-10-25,266086,76,"reggaeton,reggaeton flow,trap latino,urbano latino,latin hip hop",0.795,0.783,5,-4.271,0.0432,0.361,0.0,0.437,0.799,92.01,2022,latin
461,1l77YWrGUp3qX3NS1rz7lq,2C6i0I5RiGzDKN9IAF8reh,El Color de Tus Ojos,La Mejor Versión De Mí,Banda MS de Sergio Lizárraga,2017-04-21,202560,78,"banda,musica mexicana,norteno",0.765,0.339,8,-8.965,0.0365,0.278,0.0,0.131,0.864,123.95,2022,latin
462,5e50NiIlOc2YJIftHzoehd,4obzFoKoKRHIphyHzJ35G3,MALA SANTA,MALA SANTA,Becky G,2019-10-18,173826,63,"latin pop,latin viral pop,rap latina,reggaeton,trap latino,urbano latino",0.851,0.701,9,-3.649,0.0396,0.311,0.000211,0.163,0.527,98.039,2022,latin
463,6Y46tOTRhkBamosyuWa6YX,"7ltDVBr6mKbRvohxheJ9h1,1Xyo4u8uXC1ZmMpatF05PJ",LA FAMA,MOTOMAMI,"ROSALÍA,The Weeknd",2022-03-18,188106,79,"latin viral pop,pop,r&b en espanol,canadian contemporary r&b,canadian pop",0.766,0.295,0,-7.893,0.0464,0.947,4.44e-05,0.119,0.805,136.016,2022,nonlatin
464,18HOjcvTVV7W8YzBuOsAPS,4q3ewBCX7sLwd24euuV69X,Un Verano Sin Ti,Un Verano Sin Ti,Bad Bunny,2022-05-06,148143,78,"reggaeton,trap latino,urbano latino",0.503,0.496,5,-9.123,0.0556,0.693,0.0,0.123,0.412,187.844,2022,latin
465,6VOb0Kkrd45Bp5RHYSla2J,"0vR2qb8m9WHeZ5ByCbimq2,1r4hJ1h58CWwUQe3MxPuau",Perfecta,Perfecta,"Reik,Maluma",2021-05-27,174932,72,"latin arena pop,latin pop,mexican pop,reggaeton,urbano latino,reggaeton colombiano,trap latino",0.762,0.797,6,-2.641,0.107,0.11,0.0,0.412,0.787,81.994,2022,latin
466,0UuMzFglgjKnYuAmkICf1P,1qto4hHid1P71emI6Fd8xi,La Novelita,Generation Next,Aventura,1999,244880,63,"bachata,bachata dominicana,latin hip hop,latin pop,tropical,urbano latino",0.822,0.564,5,-6.403,0.0383,0.229,0.000295,0.09,0.962,139.964,2022,latin
467,5Fim1gaXBgsiFfsQAfQSDS,1SupJlEpv7RS2tPNRaHViT,Hasta el Amanecer,Fénix,Nicky Jam,2017-01-20,198706,74,"latin hip hop,reggaeton,trap latino,urbano latino",0.832,0.608,6,-6.042,0.0385,0.282,0.0,0.0761,0.589,94.013,2022,latin
