,spotify_id,artist_id,track_name,album_name,artist_name,date,duration,pop,genres,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year
69,4ggiDYAkJ7Yk8d5xOr7Xjo,1i8SpTcr7yvPOmcqrbnVXY,Me Niego (feat. Ozuna & Wisin),Ahora,Ozuna,2019-05-31,221653,74,latin arena pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
70,4ggiDYAkJ7Yk8d5xOr7Xjo,1i8SpTcr7yvPOmcqrbnVXY,Me Niego (feat. Ozuna & Wisin),Ahora,Ozuna,2019-05-31,221653,74,latin pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
71,4ggiDYAkJ7Yk8d5xOr7Xjo,1i8SpTcr7yvPOmcqrbnVXY,Me Niego (feat. Ozuna & Wisin),Ahora,Ozuna,2019-05-31,221653,74,mexican pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
72,4ggiDYAkJ7Yk8d5xOr7Xjo,1i8SpTcr7yvPOmcqrbnVXY,Me Niego (feat. Ozuna & Wisin),Ahora,Ozuna,2019-05-31,221653,74,reggaeton,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
73,4ggiDYAkJ7Yk8d5xOr7Xjo,1i8SpTcr7yvPOmcqrbnVXY,Me Niego (feat. Ozuna & Wisin),Ahora,Ozuna,2019-05-31,221653,74,urbano latino,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
74,4ggiDYAkJ7Yk8d5xOr7Xjo,1i8SpTcr7yvPOmcqrbnVXY,Me Niego (feat. Ozuna & Wisin),Ahora,Ozuna,2019-05-31,221653,74,puerto rican pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
75,4ggiDYAkJ7Yk8d5xOr7Xjo,1i8SpTcr7yvPOmcqrbnVXY,Me Niego (feat. Ozuna & Wisin),Ahora,Ozuna,2019-05-31,221653,74,trap latino,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
76,4ggiDYAkJ7Yk8d5xOr7Xjo,3E6xrwgnVfYCrCs0ePERDz,Me Niego (feat. Ozuna & Wisin),Ahora,Wisin,2019-05-31,221653,74,latin arena pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
77,4ggiDYAkJ7Yk8d5xOr7Xjo,3E6xrwgnVfYCrCs0ePERDz,Me Niego (feat. Ozuna & Wisin),Ahora,Wisin,2019-05-31,221653,74,latin pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
78,4ggiDYAkJ7Yk8d5xOr7Xjo,3E6xrwgnVfYCrCs0ePERDz,Me Niego (feat. Ozuna & Wisin),Ahora,Wisin,2019-05-31,221653,74,mexican pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
79,4ggiDYAkJ7Yk8d5xOr7Xjo,3E6xrwgnVfYCrCs0ePERDz,Me Niego (feat. Ozuna & Wisin),Ahora,Wisin,2019-05-31,221653,74,reggaeton,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
80,4ggiDYAkJ7Yk8d5xOr7Xjo,3E6xrwgnVfYCrCs0ePERDz,Me Niego (feat. Ozuna & Wisin),Ahora,Wisin,2019-05-31,221653,74,urbano latino,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
81,4ggiDYAkJ7Yk8d5xOr7Xjo,3E6xrwgnVfYCrCs0ePERDz,Me Niego (feat. Ozuna & Wisin),Ahora,Wisin,2019-05-31,221653,74,puerto rican pop,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
82,4ggiDYAkJ7Yk8d5xOr7Xjo,3E6xrwgnVfYCrCs0ePERDz,Me Niego (feat. Ozuna & Wisin),Ahora,Wisin,2019-05-31,221653,74,trap latino,0.777,0.782,0,-4.435,0.0907,0.0505,0.0,0.64,0.773,94.023,2018
83,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,latin pop,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
84,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,reggaeton,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
85,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,reggaeton colombiano,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
86,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,trap latino,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
87,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,urbano latino,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
88,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,funk carioca,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
89,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,funk das antigas,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
90,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,funk ostentacao,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
91,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,funk pop,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
92,5cepAtqnEQ6yVG6088zMMu,1r4hJ1h58CWwUQe3MxPuau,Corazón (feat. Nego do Borel),F.A.M.E.,Maluma,2018-05-18,184720,73,sertanejo universitario,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
93,5cepAtqnEQ6yVG6088zMMu,1B0Rp4SWGnFgGCPU5Pju6E,Corazón (feat. Nego do Borel),F.A.M.E.,Nego do Borel,2018-05-18,184720,73,latin pop,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
94,5cepAtqnEQ6yVG6088zMMu,1B0Rp4SWGnFgGCPU5Pju6E,Corazón (feat. Nego do Borel),F.A.M.E.,Nego do Borel,2018-05-18,184720,73,reggaeton,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
95,5cepAtqnEQ6yVG6088zMMu,1B0Rp4SWGnFgGCPU5Pju6E,Corazón (feat. Nego do Borel),F.A.M.E.,Nego do Borel,2018-05-18,184720,73,reggaeton colombiano,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
96,5cepAtqnEQ6yVG6088zMMu,1B0Rp4SWGnFgGCPU5Pju6E,Corazón (feat. Nego do Borel),F.A.M.E.,Nego do Borel,2018-05-18,184720,73,trap latino,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
97,5cepAtqnEQ6yVG6088zMMu,1B0Rp4SWGnFgGCPU5Pju6E,Corazón (feat. Nego do Borel),F.A.M.E.,Nego do Borel,2018-05-18,184720,73,urbano latino,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
98,5cepAtqnEQ6yVG6088zMMu,1B0Rp4SWGnFgGCPU5Pju6E,Corazón (feat. Nego do Borel),F.A.M.E.,Nego do Borel,2018-05-18,184720,73,funk carioca,0.722,0.738,9,-6.073,0.247,0.328,1.47e-05,0.198,0.748,198.075,2018
