,artist_id,artist_name,genres
121,7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,lgbtq+ hip hop
122,60rpJ9SgigSd16DOAG7GSa,Billy Ray Cyrus,country rock
123,1zNqQNIdeOUZHb8zbZRFMX,Swae Lee,"melodic rap,rap,trap"
124,0GM7qgcRCORpGnfcN2tCiB,Tainy,"pop reggaeton,reggaeton,trap latino,urbano latino"
125,47MpMsUfWtgyIIBEFOr4FE,Lunay,"reggaeton,reggaeton flow,trap latino,urbano latino"
126,1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"art pop,dance pop,pop"
127,4VIvfOurcf0vuLRxLkGnIG,Bradley Cooper,hollywood
128,2R21vXR83lH98kGeO99Y66,Anuel AA,"reggaeton,reggaeton flow,trap boricua,trap latino,urbano latino"
129,790FomKkXshlbRYZFtlgla,KAROL G,"reggaeton,reggaeton colombiano,trap latino,urbano latino"
130,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,"pop,uk pop"
131,3vQ0GE3mI0dAaxIMYe5g7z,Paulo Londra,"argentine hip hop,trap argentino,trap latino,urbano latino"
132,77ziqFxp5gaInVrF2lj4ht,Sech,"panamanian pop,reggaeton,trap latino,urbano latino"
133,4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,"latin pop,puerto rican pop"
134,329e4yvIujISKGKz1BZZbO,Farruko,"reggaeton,trap latino,urbano latino"
135,3uZFBSsMiooimnprFL9jD1,Snow,"canadian old school hip hop,reggae fusion"
136,0ErzCpIMyLcjPiwT4elrtZ,NLE Choppa,"memphis hip hop,rap"
137,3Fl1V19tmjt57oBdxXKAjJ,Blueface,"cali rap,rap"
138,5UjifI1TYefXWn9GdqDOHl,Social House,none
139,3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,dark clubbing
140,6Ip8FS7vWT1uKkJSweANQK,Dave,uk hip hop
141,3wcj11K77LjEY1PkEazffa,Burna Boy,"afrobeats,azontobeats,dancehall,nigerian hip hop,nigerian pop"
142,6AgTAQt8XS6jRWi4sX7w49,Polo G,"chicago rap,rap"
143,6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,"brooklyn drill,melodic rap,nyc rap,rap"
144,2HUwZ0kumzCSlhFcjFZfpp,Flipp Dinero,"melodic rap,trap"
145,2wY79sveU1sp5g7SokKOiI,Sam Smith,"pop,uk pop"
146,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"conscious hip hop,hip hop,north carolina hip hop,rap"
147,4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,"melodic rap,pluggnb,rap"
